item_id,so_ky_hieu,loai_qc_tc,linh_vuc_mapped,file_count,source_url
"248","TCVN 9535-1: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=248"
"249","TCVN 9535-2: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=249"
"250","TCVN 9535-3: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=250"
"251","TCVN 9535-4: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=251"
"252","TCVN 9535-6: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=252"
"253","TCVN 9535-7: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=253"
"254","TCVN 9535-8: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=254"
"255","TCVN 9535-9: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=255"
"256","TCVN 9983: 2013","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=256"
"224","QCVN 64:2015/BGTVT","Quy chuẩn","Chứng nhận sản phẩm công nghiệp; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=224"
"225","QCVN 65:2015/BGTVT","Quy chuẩn","Đánh giá năng lực cơ sở chế tạo SPCN; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=225"
"236","QCVN 71:2013/BGTVT","Quy chuẩn","Tàu biển",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=236"
"223","QCVN 71:2014/BGTVT","Quy chuẩn","Kiểm tra theo luật thiết bị nâng, bình chịu áp lực, nồi hơi",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=223"
"226","QCVN 85:2015/BGTVT","Quy chuẩn","Sản phẩm công nghiệp; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Kiểm tra, giám sát chế tạo SPCN",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=226"
"235","QCVN 89:2015/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Kiểm tra, xác nhận năng lực cơ sở đóng mới, hoán cải, sửa chữa và phục hồi phương tiện thủy nội địa",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=235"
"233","QCVN 95:2016/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=233"
"234","QCVN 96:2016/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=234"
"232","QCVN25:2015/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=232"
"231","Sửa đổi 1:2015 QCVN72: 2013/ BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",8,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=231"
"240","TCVN 6474: 2017","Tiêu chuẩn","Công trình biển",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=240"
"227","TCVN 6528:1999","Tiêu chuẩn","Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=227"
"228","TCVN 6529:1999","Tiêu chuẩn","Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=228"
"229","TCVN 6578:2000","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=229"
"230","TCVN 6580:2000","Tiêu chuẩn","Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=230"
"241","TCVN 6767: 2016","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=241"
"238","TCVN 8403: 2010","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=238"
"239","TCVN 8404: 2010","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=239"
"242","TCVN 8546 : 2010","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=242"
"243","TCVN 8784 : 2011","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=243"
"201","75:2014/BGTVT","Quy chuẩn","Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới; Phương tiện cơ giới đường bộ; Kiểm định xe cơ giới và xe bốn bánh có gắn động cơ đang lưu hành",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=201"
"202","76:2014/BGTVT","Quy chuẩn","Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới; Phương tiện cơ giới đường bộ; Kiểm định xe cơ giới và xe bốn bánh có gắn động cơ đang lưu hành",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=202"
"208","QCVN 11:2015/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=208"
